Time,C_in,C,C_next
0,2.79,1.05,1.04692572064387
1,2.79170232871484,1.04692572064387,1.04586580799202
2,2.7934076254756,1.04586580799202,1.04564964212564
3,2.79511582499804,1.04564964212564,1.04578742464844
4,2.79682686030149,1.04578742464844,1.04607402313686
5,2.79854066271647,1.04607402313686,1.04642324935214
6,2.80025716189273,1.04642324935214,1.0467990435497
7,2.80197628580753,1.0467990435497,1.04718647987926
8,2.80369796077415,1.04718647987926,1.04757877117815
9,2.80542211145087,1.04757877117815,1.04797356289744
10,2.80714866085005,1.04797356289744,1.04836947857772
11,2.80887753034766,1.04836947857772,1.04876636434805
12,2.81060863969304,1.04876636434805,1.04916342434317
13,2.81234190701891,1.04916342434317,1.0495612937507
14,2.81407724885176,1.0495612937507,1.04995952834229
15,2.81581458012249,1.04995952834229,1.0503575976099
16,2.81755381417727,1.0503575976099,1.05075655505943
17,2.81929486278885,1.05075655505943,1.05115611511012
18,2.82103763616795,1.05115611511012,1.05155503219581
19,2.8227820429751,1.05155503219581,1.05195448325871
20,2.82452799033267,1.05195448325871,1.05235494025583
21,2.82627538383721,1.05235494025583,1.05275501488664
22,2.82802412757207,1.05275501488664,1.05315482455847
23,2.82977412412027,1.05315482455847,1.05355555102871
24,2.83152527457765,1.05355555102871,1.05395654355871
25,2.83327747856635,1.05395654355871,1.05435682661287
26,2.83503063424845,1.05435682661287,1.05475761078382
27,2.83678463833994,1.05475761078382,1.05515896020256
28,2.83853938612502,1.05515896020256,1.05555977479115
29,2.84029477147049,1.05555977479115,1.05596049434927
30,2.84205068684059,1.05596049434927,1.0563617371234
31,2.84380702331193,1.0563617371234,1.05676300707196
32,2.84556367058883,1.05676300707196,1.05716364918284
33,2.8473205170188,1.05716364918284,1.05756441618824
34,2.8490774496083,1.05756441618824,1.0579654651784
35,2.8508343540388,1.0579654651784,1.05836627949104
36,2.85259111468297,1.05836627949104,1.05876671739716
37,2.85434761462127,1.05876671739716,1.05916704078508
38,2.85610373565865,1.05916704078508,1.05956714316166
39,2.85785935834152,1.05956714316166,1.05996702245703
40,2.85961436197503,1.05996702245703,1.06036680409952
41,2.86136862464044,1.06036680409952,1.06076624397382
42,2.8631220232129,1.06076624397382,1.06116512435108
43,2.86487443337927,1.06116512435108,1.06156400905118
44,2.86662572965631,1.06156400905118,1.06196252389889
45,2.86837578540901,1.06196252389889,1.06236022302421
46,2.8701244728692,1.06236022302421,1.0627579999731
47,2.87187166315428,1.0627579999731,1.06315562380787
48,2.87361722628629,1.06315562380787,1.0635517072923
49,2.87536103121107,1.0635517072923,1.06394725356266
50,2.87710294581772,1.06394725356266,1.06434368571393
51,2.87884283695819,1.06434368571393,1.06473869518994
52,2.88058057046714,1.06473869518994,1.06513227603859
53,2.88231601118193,1.06513227603859,1.06552659545569
54,2.88404902296287,1.06552659545569,1.06591993754249
55,2.88577946871357,1.06591993754249,1.06631180958041
56,2.88750721040162,1.06631180958041,1.06670395209855
57,2.8892321090793,1.06670395209855,1.06709507086897
58,2.89095402490458,1.06709507086897,1.06748470651909
59,2.89267281716224,1.06748470651909,1.06787452744013
60,2.8943883442852,1.06787452744013,1.0682631855879
61,2.89610046387602,1.0682631855879,1.06865021156936
62,2.8978090327285,1.06865021156936,1.06903742603762
63,2.89951390684959,1.06903742603762,1.06942335390712
64,2.90121494148127,1.06942335390712,1.06980755266941
65,2.90291199112277,1.06980755266941,1.07019188828221
66,2.90460490955283,1.07019188828221,1.0705747324097
67,2.90629354985215,1.0705747324097,1.07095587063159
68,2.90797776442597,1.07095587063159,1.07133706233829
69,2.90965740502682,1.07133706233829,1.07171646645394
70,2.9113323227774,1.07171646645394,1.072094303659
71,2.91300236819358,1.072094303659,1.07247203435656
72,2.91466739120754,1.07247203435656,1.07284766555165
73,2.91632724119107,1.07284766555165,1.07322199473265
74,2.91798176697894,1.07322199473265,1.07359589098149
75,2.91963081689244,1.07359589098149,1.07396744198939
76,2.92127423876302,1.07396744198939,1.07433805517069
77,2.92291187995602,1.07433805517069,1.07470771489482
78,2.92454358739458,1.07470771489482,1.07507492650219
79,2.92616920758357,1.07507492650219,1.07544156722582
80,2.92778858663366,1.07544156722582,1.07580658110362
81,2.92940157028555,1.07580658110362,1.07616928374619
82,2.93100800393417,1.07616928374619,1.07653158264712
83,2.93260773265308,1.07653158264712,1.07689157314077
84,2.93420060121892,1.07689157314077,1.0772497201343
85,2.9357864541359,1.0772497201343,1.07760713471794
86,2.93736513566047,1.07760713471794,1.07796180899153
87,2.93893648982597,1.07796180899153,1.07831529200717
88,2.94050036046738,1.07831529200717,1.07866725778797
89,2.94205659124618,1.07866725778797,1.07901647494549
90,2.94360502567521,1.07901647494549,1.0793649696194
91,2.94514550714367,1.0793649696194,1.07971101815768
92,2.94667787894203,1.07971101815768,1.08005485422036
93,2.94820198428721,1.08005485422036,1.08039772039951
94,2.94971766634761,1.08039772039951,1.08073755739251
95,2.95122476826825,1.08073755739251,1.08107601480686
96,2.95272313319604,1.08107601480686,1.08141254427908
97,2.95421260430493,1.08141254427908,1.08174614817286
98,2.95569302482121,1.08174614817286,1.08207881992159
99,2.95716423804877,1.08207881992159,1.08240852954789
100,2.95862608739444,1.08240852954789,1.08273614431982
101,2.96007841639333,1.08273614431982,1.08306218294324
102,2.96152106873412,1.08306218294324,1.08338492227852
103,2.96295388828448,1.08338492227852,1.08370642198457
104,2.96437671911642,1.08370642198457,1.08402512918971
105,2.96578940553163,1.08402512918971,1.08434118236573
106,2.96719179208691,1.08434118236573,1.08465578299366
107,2.96858372361946,1.08465578299366,1.08496688094117
108,2.96996504527233,1.08496688094117,1.08527638607577
109,2.97133560251968,1.08527638607577,1.08558318471985
110,2.97269524119215,1.08558318471985,1.08588694941562
111,2.97404380750217,1.08588694941562,1.0861892209314
112,2.97538114806924,1.0861892209314,1.08648783643164
113,2.97670710994517,1.08648783643164,1.08678458897084
114,2.97802154063931,1.08678458897084,1.08707858184443
115,2.97932428814375,1.08707858184443,1.08736930995628
116,2.98061520095844,1.08736930995628,1.08765840912338
117,2.98189412811632,1.08765840912338,1.0879436885306
118,2.98316091920833,1.0879436885306,1.08822695377755
119,2.98441542440845,1.08822695377755,1.08850726306595
120,2.9856574944986,1.08850726306595,1.08878420620352
121,2.98688698089355,1.08878420620352,1.08905931374302
122,2.98810373566573,1.08905931374302,1.08933042077755
123,2.98930761156995,1.08933042077755,1.08959947274324
124,2.99049846206811,1.08959947274324,1.08986524077822
125,2.99167614135378,1.08986524077822,1.09012767541892
126,2.99284050437669,1.09012767541892,1.09038797323951
127,2.9939914068672,1.09038797323951,1.0906441136485
128,2.99512870536062,1.0906441136485,1.09089822234362
129,2.99625225722146,1.09089822234362,1.0911486164755
130,2.99736192066758,1.0911486164755,1.09139585516075
131,2.99845755479426,1.09139585516075,1.09164051614925
132,2.9995390195981,1.09164051614925,1.09188096820772
133,3.00060617600093,1.09188096820772,1.09211937422798
134,3.00165888587346,1.09211937422798,1.09235360479759
135,3.00269701205895,1.09235360479759,1.09258498352798
136,3.00372041839666,1.09258498352798,1.09281318087266
137,3.00472896974526,1.09281318087266,1.09303733532231
138,3.00572253200602,1.09303733532231,1.09325920744066
139,3.00670097214595,1.09325920744066,1.09347656392122
140,3.00766415822076,1.09347656392122,1.09369140172888
141,3.00861195939772,1.09369140172888,1.09390234116446
142,3.00954424597833,1.09390234116446,1.09410965935929
143,3.01046088942086,1.09410965935929,1.09431412723216
144,3.01136176236276,1.09431412723216,1.09451403445197
145,3.01224673864291,1.09451403445197,1.09471156522407
146,3.01311569332371,1.09471156522407,1.09490454076653
147,3.01396850271297,1.09490454076653,1.09509446065421
148,3.01480504438573,1.09509446065421,1.09528069454193
149,3.0156251972058,1.09528069454193,1.09546276038889
150,3.01642884134723,1.09546276038889,1.0956420678245
151,3.01721585831551,1.0956420678245,1.09581653930624
152,3.0179861309687,1.09581653930624,1.09598838215481
153,3.01873954353828,1.09598838215481,1.09615566852372
154,3.01947598164985,1.09615566852372,1.09631949043677
155,3.02019533234368,1.09631949043677,1.09647968097245
156,3.02089748409501,1.09647968097245,1.09663536086523
157,3.02158232683418,1.09663536086523,1.09678822041642
158,3.02224975196658,1.09678822041642,1.09693606247505
159,3.02289965239237,1.09693606247505,1.09708105378731
160,3.02353192252598,1.09708105378731,1.09722140829059
161,3.02414645831549,1.09722140829059,1.09735805723027
162,3.02474315726168,1.09735805723027,1.0974909793643
163,3.02532191843693,1.0974909793643,1.09761920378178
164,3.02588264250394,1.09761920378178,1.09774446393
165,3.02642523173412,1.09774446393,1.09786455345423
166,3.02694959002587,1.09786455345423,1.09798165433133
167,3.02745562292256,1.09798165433133,1.09809393883906
168,3.02794323763032,1.09809393883906,1.09820243623179
169,3.02841234303558,1.09820243623179,1.09830698386542
